Isolate	Distance to 450	Distance to 449	Distance to 478	Distance to 458	Distance to 474	Distance to 453	Distance to 467	Distance to 468	Distance to 461	Distance to 452	Distance to 456	Distance to 462	Distance to 464	Distance to 476	Distance to 477	Distance to 470	Distance to 471	Distance to 454	Distance to 457	Distance to 460	Distance to 455	Distance to 466	Distance to 475	Distance to 451	Distance to 469	Distance to 472	Distance to 479	Distance to 465	Distance to 473	Distance to 459	Distance to 463
450	0	0.0000329536	0.0000327919	0.0000418555	0.0000392651	0.0000407221	0.0000407221	0.0000374846	0.0000361898	0.0000358662	0.0000363517	0.0000350571	0.0000348952	0.0000352189	0.0000348952	0.0000347334	0.0000345716	0.0000345716	0.0000337626	0.0000340862	0.0000347334	0.0000337626	0.0000327919	0.000033439	0.0000339244	0.0000425032	0.0000403983	0.0000407221	0.0000379702	0.0000355425	0.0000348952
449	0.0000329536	0	0.0000266459	0.0000353807	0.0000298802	0.0000313359	0.000031983	0.0000303654	0.0000297184	0.0000268076	0.0000295567	0.0000282629	0.0000274544	0.0000274544	0.0000281012	0.0000279395	0.0000277778	0.0000281012	0.0000272927	0.0000269693	0.0000282629	0.0000250291	0.0000259991	0.0000263225	0.000027131	0.0000340862	0.0000339244	0.0000332772	0.0000314977	0.0000268076	0.0000290715
478	0.0000327919	0.0000266459	0	0.0000332772	0.0000306889	0.0000324683	0.0000324683	0.0000298802	0.0000276161	0.0000276161	0.0000277778	0.0000264842	0.0000263225	0.0000266459	0.0000263225	0.0000261608	0.0000259991	0.0000259991	0.0000251908	0.0000255141	0.0000261608	0.0000251908	0.0000242208	0.0000248674	0.0000253524	0.0000345716	0.0000230893	0.0000321448	0.000029395	0.0000269693	0.0000266459
458	0.0000418555	0.0000353807	0.0000332772	0	0.0000184028	0.0000143644	0.0000143644	0.0000124265	0.0000108119	0.000010489	0.0000106504	0.00000839037	0.00000919748	0.00000952034	0.00000919748	0.00000903605	0.00000887463	0.00000790613	0.00000806754	0.00000839037	0.0000138799	0.000012911	0.0000119421	0.000012911	0.0000130725	0.0000323065	0.0000279395	0.0000282629	0.000027131	0.0000240591	0.0000247058
474	0.0000392651	0.0000298802	0.0000306889	0.0000184028	0	0.0000124265	0.0000101661	0.0000108119	0.0000108119	0.00000919748	0.0000112963	0.0000116192	0.00000919748	0.000010489	0.0000111348	0.0000106504	0.0000108119	0.0000108119	0.0000103275	0.0000103275	0.00000645355	0.00000677633	0.00000709912	0.00000613078	0.00000693772	0.0000245441	0.0000266459	0.0000247058	0.0000226044	0.0000192107	0.000021473
453	0.0000407221	0.0000313359	0.0000324683	0.0000143644	0.0000124265	0	0.00000742192	0.00000677633	0.00000935891	0.00000613078	0.0000101661	0.00000822895	0.00000774472	0.00000806754	0.00000871321	0.00000822895	0.00000839037	0.00000774472	0.00000758332	0.00000758332	0.0000117806	0.0000101661	0.0000114577	0.0000114577	0.000012588	0.0000234126	0.0000277778	0.0000268076	0.0000253524	0.0000209882	0.0000209882
467	0.0000407221	0.000031983	0.0000324683	0.0000143644	0.0000101661	0.00000742192	0	0.0000048398	0.00000968178	0.00000645355	0.00000952034	0.00000629216	0.00000645355	0.00000742192	0.00000806754	0.00000790613	0.00000774472	0.00000774472	0.00000726051	0.00000693772	0.000010489	0.0000111348	0.0000108119	0.0000117806	0.0000119421	0.0000266459	0.0000268076	0.0000258375	0.0000253524	0.0000209882	0.0000209882
468	0.0000374846	0.0000303654	0.0000298802	0.0000124265	0.0000108119	0.00000677633	0.0000048398	0	0.00000645355	0.00000419437	0.00000758332	0.00000564664	0.00000516253	0.00000548527	0.00000613078	0.0000059694	0.00000580802	0.00000580802	0.00000500116	0.00000500116	0.0000108119	0.00000887463	0.00000887463	0.00000952034	0.0000100047	0.0000247058	0.0000258375	0.0000232509	0.0000230893	0.0000190491	0.0000184028
461	0.0000361898	0.0000297184	0.0000276161	0.0000108119	0.0000108119	0.00000935891	0.00000968178	0.00000645355	0	0.0000048398	0.00000241963	0.00000403301	0.00000354897	0.00000387166	0.00000354897	0.00000306495	0.00000322629	0.00000322629	0.00000274229	0.00000306495	0.00000822895	0.00000758332	0.00000629216	0.00000564664	0.00000613078	0.0000234126	0.0000238975	0.0000238975	0.0000185644	0.0000184028	0.0000190491
452	0.0000358662	0.0000268076	0.0000276161	0.000010489	0.00000919748	0.00000613078	0.00000645355	0.00000419437	0.0000048398	0	0.00000500116	0.00000371032	0.00000258095	0.00000290362	0.00000354897	0.00000338763	0.00000322629	0.00000322629	0.00000241963	0.00000241963	0.00000822895	0.00000564664	0.00000629216	0.00000661494	0.00000742192	0.0000234126	0.0000238975	0.0000226044	0.000021473	0.0000167873	0.0000180797
