Isolate	Distance to 510	Distance to 519	Distance to 524	Distance to 522	Distance to 523	Distance to 506	Distance to 507	Distance to 515	Distance to 520	Distance to 502	Distance to 513	Distance to 512	Distance to 521	Distance to 518	Distance to 514	Distance to 517	Distance to 516	Distance to 505	Distance to 511	Distance to 504	Distance to 538	Distance to 552	Distance to 556	Distance to 555	Distance to 549	Distance to 545	Distance to 557	Distance to 550	Distance to 558	Distance to 543	Distance to 544	Distance to 554	Distance to 551	Distance to 553	Distance to 548	Distance to 559	Distance to 537	Distance to 546	Distance to 547	Distance to 539	Distance to 542	Distance to 540	Distance to 541	Distance to 503	Distance to 508	Distance to 509
513	0.000376649	0.000370805	0.0000962353	0.0000733136	0.0000622766	0.0000517371	0.0000470382	0.0000400745	0.0000361898	0.0000318212	0	0.000021473	0.0000255141	0.000020665	0.000019857	0.000021473	0.0000193723	0.0000208266	0.0000219579	0.000474274	0.000308229	0.000314536	0.000315035	0.00031819	0.00031736	0.00031819	0.000317526	0.000315533	0.000316861	0.000317194	0.000318356	0.000318855	0.00031819	0.00031819	0.000317692	0.000317526	0.000317526	0.000317194	0.000317526	0.000327496	0.000326498	0.000324504	0.000323008	0.000345465	0.00032251	0.000325834
512	0.000375814	0.000371306	0.0000931437	0.0000767244	0.0000647103	0.00005352	0.0000488203	0.0000389414	0.0000318212	0.0000281012	0.000021473	0	0.0000272927	0.0000221195	0.0000174335	0.0000184028	0.0000179181	0.000018726	0.0000201802	0.000472421	0.000307067	0.000314703	0.000313872	0.00031736	0.000315367	0.000315533	0.000314703	0.000313374	0.000314204	0.000316695	0.000316695	0.000317194	0.000316529	0.000316197	0.000315367	0.000315201	0.000316529	0.000317194	0.000316529	0.000325834	0.000324504	0.000322177	0.00032251	0.000343966	0.000320516	0.000323673
521	0.000374478	0.000367968	0.000092981	0.0000681183	0.0000538442	0.0000462282	0.0000467142	0.000038132	0.0000287481	0.0000324683	0.0000255141	0.0000272927	0	0.0000213114	0.0000182413	0.0000201802	0.0000158181	0.0000172719	0.000018726	0.000474611	0.000303583	0.000311548	0.000311714	0.000314536	0.000311216	0.000311382	0.000311216	0.000313872	0.000314038	0.000313208	0.00031188	0.00031105	0.000312378	0.000313374	0.000312876	0.000313042	0.000314703	0.000314038	0.000313706	0.000323673	0.000321014	0.000318688	0.000322343	0.000337475	0.000321679	0.000323673
518	0.000370138	0.000362964	0.0000890772	0.0000661707	0.0000583839	0.0000472002	0.0000399127	0.0000368372	0.0000287481	0.0000298802	0.000020665	0.0000221195	0.0000213114	0	0.0000163027	0.0000133954	0.0000138799	0.0000163027	0.000018726	0.000469894	0.000300266	0.000306569	0.000307731	0.000310884	0.000309888	0.000311382	0.000310884	0.000309556	0.000310718	0.000309556	0.000311548	0.000312046	0.000310718	0.000310386	0.00031022	0.000310054	0.000310054	0.000310386	0.000310718	0.000321513	0.000319187	0.00031736	0.000316695	0.000336643	0.000317194	0.000319353
514	0.000368302	0.000364131	0.0000911916	0.0000682806	0.0000540063	0.0000457423	0.0000413698	0.0000350571	0.0000259991	0.0000255141	0.000019857	0.0000174335	0.0000182413	0.0000163027	0	0.0000138799	0.0000114577	0.0000109733	0.0000121036	0.000467537	0.000299768	0.000308063	0.000307897	0.000311548	0.000307067	0.000306901	0.000306735	0.000306071	0.000305905	0.000309058	0.000308063	0.000308063	0.000309058	0.00030939	0.000308229	0.000308229	0.00030939	0.000309058	0.000309058	0.000316861	0.000315201	0.000313872	0.000315533	0.000338307	0.000316529	0.000315367
517	0.000368803	0.000360295	0.0000863128	0.000066333	0.0000572488	0.0000467142	0.0000413698	0.0000366753	0.0000259991	0.0000245441	0.000021473	0.0000184028	0.0000201802	0.0000133954	0.0000138799	0	0.0000108119	0.000015172	0.0000140414	0.000467873	0.000299768	0.000306403	0.000306901	0.000310386	0.000309058	0.000310552	0.000310054	0.000308063	0.000309224	0.000309058	0.00031105	0.000311382	0.000309888	0.000309888	0.00030939	0.000309224	0.000309224	0.00031022	0.000310552	0.000320516	0.000318522	0.000316529	0.000315533	0.000337641	0.000316861	0.000318855
516	0.000364298	0.000359795	0.0000868006	0.0000668199	0.00005352	0.0000407221	0.0000389414	0.0000339244	0.0000216346	0.0000211498	0.0000193723	0.0000179181	0.0000158181	0.0000138799	0.0000114577	0.0000108119	0	0.00000984321	0.0000116192	0.000463328	0.000297944	0.000304246	0.000303749	0.000307897	0.000305905	0.000305076	0.000303915	0.000305242	0.000304412	0.00030491	0.000306237	0.000306735	0.000307731	0.000307399	0.000306569	0.000306735	0.000306403	0.000305408	0.000305076	0.000316363	0.000314038	0.000313374	0.00031188	0.000337641	0.000310718	0.00031354
505	0.0003668	0.000364298	0.000086638	0.0000666576	0.0000540063	0.0000467142	0.0000400745	0.0000344098	0.0000256758	0.000020665	0.0000208266	0.000018726	0.0000172719	0.0000163027	0.0000109733	0.000015172	0.00000984321	0	0.00000726051	0.000468042	0.000295789	0.00030574	0.000304578	0.000304412	0.000303749	0.000302919	0.000301758	0.0003001	0.000299271	0.00030209	0.000301427	0.000301924	0.000302588	0.000301924	0.000301095	0.000300929	0.000303251	0.000302588	0.000301593	0.000310884	0.000313208	0.000310552	0.000312544	0.000336976	0.000311548	0.000309722
511	0.000367134	0.000363631	0.0000861502	0.0000689299	0.0000554653	0.0000449324	0.0000421793	0.0000358662	0.0000290715	0.0000221195	0.0000219579	0.0000201802	0.000018726	0.000018726	0.0000121036	0.0000140414	0.0000116192	0.00000726051	0	0.000468884	0.000295624	0.000305574	0.000304081	0.000304246	0.000303583	0.000304081	0.000303915	0.000298608	0.000300432	0.000303915	0.000302588	0.000302422	0.000301758	0.000303085	0.000301261	0.000301095	0.000303085	0.000303749	0.000303749	0.000311382	0.000314703	0.000309722	0.000313706	0.000338474	0.000314869	0.000310884
504	0.000822432	0.000817216	0.000543066	0.000520031	0.000504307	0.00049485	0.000496369	0.000486412	0.000477982	0.000467537	0.000474274	0.000472421	0.000474611	0.000469894	0.000467537	0.000467873	0.000463328	0.000468042	0.000468884	0	0.000200564	0.000206645	0.000207138	0.000210591	0.000208618	0.000208453	0.000208289	0.000207631	0.000207138	0.000208618	0.00020944	0.000209933	0.000210262	0.000210591	0.000209111	0.000208947	0.000209276	0.000208125	0.000208453	0.000218324	0.000216349	0.00021602	0.000214046	0.000208947	0.000174961	0.000181356
538	0.000656227	0.000651945	0.000375313	0.000352628	0.000334979	0.000329657	0.000326166	0.000317027	0.000310884	0.000286676	0.000308229	0.000307067	0.000303583	0.000300266	0.000299768	0.000299768	0.000297944	0.000295789	0.000295624	0.000200564	0	0.0000116192	0.0000114577	0.000012911	0.0000106504	0.0000114577	0.0000112963	0.000012588	0.0000137184	0.0000116192	0.0000112963	0.0000117806	0.0000111348	0.0000111348	0.0000103275	0.000010489	0.0000127495	0.0000130725	0.0000130725	0.0000234126	0.0000221195	0.000017595	0.0000229276	0.000066333	0.0000465522	0.0000426651
552	0.000663767	0.000658454	0.00038333	0.000358295	0.000341969	0.000335146	0.00033448	0.000326	0.000317194	0.000293966	0.000314536	0.000314703	0.000311548	0.000306569	0.000308063	0.000306403	0.000304246	0.00030574	0.000305574	0.000206645	0.0000116192	0	0.00000209698	0.0000048398	0.00000387166	0.0000053239	0.00000516253	0.00000709912	0.00000822895	0.00000516253	0.00000580802	0.00000629216	0.00000500116	0.00000564664	0.00000516253	0.0000053239	0.00000435572	0.00000467844	0.0000053239	0.0000305271	0.0000272927	0.0000259991	0.000027131	0.0000747753	0.0000530337	0.0000523854
556	0.000663081	0.000659311	0.000383163	0.000358128	0.000341136	0.000335312	0.000334647	0.000326166	0.00031736	0.000294463	0.000315035	0.000313872	0.000311714	0.000307731	0.000307897	0.000306901	0.000303749	0.000304578	0.000304081	0.000207138	0.0000114577	0.00000209698	0	0.0000053239	0.00000435572	0.00000451708	0.00000371032	0.00000564664	0.00000742192	0.00000467844	0.0000059694	0.00000645355	0.0000048398	0.00000580802	0.00000403301	0.00000419437	0.00000354897	0.00000419437	0.0000048398	0.0000297184	0.0000281012	0.0000251908	0.0000272927	0.0000752625	0.0000531958	0.000051575
555	0.000665653	0.000662567	0.000382495	0.000359628	0.000345632	0.000338806	0.000338141	0.000328992	0.000321513	0.000294961	0.00031819	0.00031736	0.000314536	0.000310884	0.000311548	0.000310386	0.000307897	0.000304412	0.000304246	0.000210591	0.000012911	0.0000048398	0.0000053239	0	0.00000645355	0.00000629216	0.00000613078	0.00000580802	0.00000661494	0.00000451708	0.00000451708	0.00000500116	0.00000338763	0.00000435572	0.00000387166	0.00000403301	0.00000371032	0.00000403301	0.00000435572	0.0000298802	0.0000314977	0.0000272927	0.0000300419	0.000078024	0.0000540063	0.0000510888
549	0.000664624	0.000661367	0.000385002	0.000360629	0.000342302	0.000336643	0.000336477	0.000326665	0.000318855	0.000294629	0.00031736	0.000315367	0.000311216	0.000309888	0.000307067	0.000309058	0.000305905	0.000303749	0.000303583	0.000208618	0.0000106504	0.00000387166	0.00000435572	0.00000645355	0	0.00000371032	0.00000354897	0.0000048398	0.00000564664	0.00000580802	0.00000419437	0.00000435572	0.00000467844	0.00000467844	0.00000322629	0.00000338763	0.0000053239	0.0000053239	0.0000053239	0.0000292332	0.0000276161	0.0000247058	0.0000300419	0.0000747753	0.0000546547	0.0000510888
545	0.000662053	0.00066291	0.000384834	0.000360129	0.000341136	0.000335645	0.00033631	0.00032733	0.000319353	0.000294463	0.00031819	0.000315533	0.000311382	0.000311382	0.000306901	0.000310552	0.000305076	0.000302919	0.000304081	0.000208453	0.0000114577	0.0000053239	0.00000451708	0.00000629216	0.00000371032	0	0.00000145171	0.0000059694	0.00000451708	0.00000467844	0.00000338763	0.00000354897	0.00000322629	0.0000048398	0.00000403301	0.00000419437	0.00000548527	0.00000419437	0.00000354897	0.0000284246	0.0000274544	0.0000242208	0.0000279395	0.0000759122	0.0000538442	0.0000493063
557	0.000661539	0.000662396	0.000384667	0.000359628	0.000340304	0.000335811	0.000335811	0.000326665	0.000318855	0.000293635	0.000317526	0.000314703	0.000311216	0.000310884	0.000306735	0.000310054	0.000303915	0.000301758	0.000303915	0.000208289	0.0000112963	0.00000516253	0.00000371032	0.00000613078	0.00000354897	0.00000145171	0	0.00000516253	0.00000403301	0.00000419437	0.00000322629	0.00000403301	0.00000435572	0.00000435572	0.00000387166	0.00000403301	0.00000467844	0.00000403301	0.00000306495	0.0000276161	0.0000269693	0.0000243825	0.0000277778	0.0000757498	0.0000533579	0.0000491443
550	0.000664281	0.000660682	0.000379989	0.000359295	0.000343134	0.000337974	0.000335811	0.000328161	0.000321513	0.000290983	0.000315533	0.000313374	0.000313872	0.000309556	0.000306071	0.000308063	0.000305242	0.0003001	0.000298608	0.000207631	0.000012588	0.00000709912	0.00000564664	0.00000580802	0.0000048398	0.0000059694	0.00000516253	0	0.00000177434	0.00000516253	0.00000387166	0.00000435572	0.00000403301	0.00000467844	0.00000290362	0.00000274229	0.00000467844	0.00000500116	0.00000500116	0.0000266459	0.0000302037	0.0000269693	0.0000284246	0.0000770493	0.0000520612	0.0000468762
558	0.000663081	0.000661881	0.000381492	0.000359462	0.000342468	0.00033681	0.000335978	0.000329657	0.000321679	0.000290155	0.000316861	0.000314204	0.000314038	0.000310718	0.000305905	0.000309224	0.000304412	0.000299271	0.000300432	0.000207138	0.0000137184	0.00000822895	0.00000742192	0.00000661494	0.00000564664	0.00000451708	0.00000403301	0.00000177434	0	0.00000435572	0.00000274229	0.00000354897	0.0000048398	0.00000451708	0.00000371032	0.00000354897	0.00000580802	0.00000451708	0.00000354897	0.0000268076	0.000029395	0.0000277778	0.0000272927	0.0000785114	0.0000506027	0.0000460662
543	0.000663253	0.000661196	0.00038166	0.000357628	0.000342635	0.000337309	0.000334813	0.000328161	0.000318522	0.00029264	0.000317194	0.000316695	0.000313208	0.000309556	0.000309058	0.000309058	0.00030491	0.00030209	0.000303915	0.000208618	0.0000116192	0.00000516253	0.00000467844	0.00000451708	0.00000580802	0.00000467844	0.00000419437	0.00000516253	0.00000435572	0	0.00000193566	0.00000274229	0.00000435572	0.00000306495	0.00000290362	0.00000306495	0.00000306495	0.00000241963	0.00000274229	0.0000282629	0.0000302037	0.0000276161	0.0000281012	0.0000776991	0.000051413	0.0000494684
544	0.000664624	0.000663081	0.000382996	0.000358961	0.000342635	0.000337974	0.000336144	0.000327496	0.000320184	0.000292972	0.000318356	0.000316695	0.00031188	0.000311548	0.000308063	0.00031105	0.000306237	0.000301427	0.000302588	0.00020944	0.0000112963	0.00000580802	0.0000059694	0.00000451708	0.00000419437	0.00000338763	0.00000322629	0.00000387166	0.00000274229	0.00000193566	0	0.00000112909	0.00000306495	0.00000241963	0.0000022583	0.00000241963	0.00000435572	0.00000306495	0.00000274229	0.0000272927	0.0000289098	0.0000263225	0.0000287481	0.0000763995	0.0000523854	0.0000481722
554	0.000664795	0.000663595	0.000383498	0.000359462	0.000342801	0.000337142	0.000336643	0.000327995	0.000320682	0.000293469	0.000318855	0.000317194	0.00031105	0.000312046	0.000308063	0.000311382	0.000306735	0.000301924	0.000302422	0.000209933	0.0000117806	0.00000629216	0.00000645355	0.00000500116	0.00000435572	0.00000354897	0.00000403301	0.00000435572	0.00000354897	0.00000274229	0.00000112909	0	0.00000290362	0.00000322629	0.00000306495	0.00000322629	0.00000516253	0.00000387166	0.00000354897	0.0000281012	0.000029395	0.0000264842	0.0000289098	0.0000762371	0.0000531958	0.0000486582
551	0.000664795	0.000662224	0.000381492	0.000359462	0.000343634	0.000337808	0.000337309	0.000326997	0.000321347	0.000294132	0.00031819	0.000316529	0.000312378	0.000310718	0.000309058	0.000309888	0.000307731	0.000302588	0.000301758	0.000210262	0.0000111348	0.00000500116	0.0000048398	0.00000338763	0.00000467844	0.00000322629	0.00000435572	0.00000403301	0.0000048398	0.00000435572	0.00000306495	0.00000290362	0	0.00000290362	0.00000209698	0.0000022583	0.00000354897	0.00000387166	0.00000354897	0.0000281012	0.0000297184	0.0000248674	0.0000298802	0.0000755874	0.0000538442	0.0000493063
553	0.000665653	0.000661881	0.000382495	0.000360462	0.000343634	0.000339472	0.000336976	0.000326997	0.000321347	0.0002938	0.00031819	0.000316197	0.000313374	0.000310386	0.00030939	0.000309888	0.000307399	0.000301924	0.000303085	0.000210591	0.0000111348	0.00000564664	0.00000580802	0.00000435572	0.00000467844	0.0000048398	0.00000435572	0.00000467844	0.00000451708	0.00000306495	0.00000241963	0.00000322629	0.00000290362	0	0.00000177434	0.00000193566	0.00000322629	0.0000048398	0.00000419437	0.0000290715	0.0000303654	0.0000261608	0.0000302037	0.000076562	0.00005352	0.0000499545
548	0.000664967	0.00066171	0.000381994	0.000358961	0.000343134	0.000338307	0.000336477	0.000326831	0.000319851	0.000292972	0.000317692	0.000315367	0.000312876	0.00031022	0.000308229	0.00030939	0.000306569	0.000301095	0.000301261	0.000209111	0.0000103275	0.00000516253	0.00000403301	0.00000387166	0.00000322629	0.00000403301	0.00000387166	0.00000290362	0.00000371032	0.00000290362	0.0000022583	0.00000306495	0.00000209698	0.00000177434	0	1.61292e-7	0.00000274229	0.00000306495	0.00000306495	0.0000272927	0.0000292332	0.0000247058	0.0000303654	0.0000763995	0.0000523854	0.0000488203
559	0.000665138	0.000661881	0.000381827	0.000358795	0.000343134	0.000338141	0.000336643	0.000326997	0.000320017	0.000292806	0.000317526	0.000315201	0.000313042	0.000310054	0.000308229	0.000309224	0.000306735	0.000300929	0.000301095	0.000208947	0.000010489	0.0000053239	0.00000419437	0.00000403301	0.00000338763	0.00000419437	0.00000403301	0.00000274229	0.00000354897	0.00000306495	0.00000241963	0.00000322629	0.0000022583	0.00000193566	1.61292e-7	0	0.00000290362	0.00000322629	0.00000322629	0.000027131	0.0000290715	0.0000248674	0.0000302037	0.000076562	0.0000525475	0.0000486582
537	0.000663081	0.000661539	0.000381827	0.000357461	0.000343301	0.000337475	0.000336976	0.000328992	0.000319353	0.0002938	0.000317526	0.000316529	0.000314703	0.000310054	0.00030939	0.000309224	0.000306403	0.000303251	0.000303085	0.000209276	0.0000127495	0.00000435572	0.00000354897	0.00000371032	0.0000053239	0.00000548527	0.00000467844	0.00000467844	0.00000580802	0.00000306495	0.00000435572	0.00000516253	0.00000354897	0.00000322629	0.00000274229	0.00000290362	0	0.0000022583	0.00000290362	0.0000284246	0.0000306889	0.0000258375	0.0000298802	0.0000781865	0.0000525475	0.0000502786
546	0.000662053	0.000662567	0.000381827	0.000356127	0.000342135	0.00033631	0.000335645	0.000329325	0.000318688	0.000293138	0.000317194	0.000317194	0.000314038	0.000310386	0.000309058	0.00031022	0.000305408	0.000302588	0.000303749	0.000208125	0.0000130725	0.00000467844	0.00000419437	0.00000403301	0.0000053239	0.00000419437	0.00000403301	0.00000500116	0.00000451708	0.00000241963	0.00000306495	0.00000387166	0.00000387166	0.0000048398	0.00000306495	0.00000322629	0.0000022583	0	9.67785e-7	0.000027131	0.000029395	0.0000264842	0.0000285863	0.0000785114	0.0000512509	0.0000489823
547	0.00066171	0.00066291	0.000382161	0.000356794	0.000341136	0.000335978	0.000335645	0.000328992	0.000319353	0.000292143	0.000317526	0.000316529	0.000313706	0.000310718	0.000309058	0.000310552	0.000305076	0.000301593	0.000303749	0.000208453	0.0000130725	0.0000053239	0.0000048398	0.00000435572	0.0000053239	0.00000354897	0.00000306495	0.00000500116	0.00000354897	0.00000274229	0.00000274229	0.00000354897	0.00000354897	0.00000419437	0.00000306495	0.00000322629	0.00000290362	9.67785e-7	0	0.0000274544	0.0000287481	0.0000264842	0.0000285863	0.0000781865	0.0000509268	0.0000486582
539	0.000674228	0.000673542	0.000392525	0.000368135	0.000352294	0.000347463	0.000346964	0.00033864	0.000330988	0.000301924	0.000327496	0.000325834	0.000323673	0.000321513	0.000316861	0.000320516	0.000316363	0.000310884	0.000311382	0.000218324	0.0000234126	0.0000305271	0.0000297184	0.0000298802	0.0000292332	0.0000284246	0.0000276161	0.0000266459	0.0000268076	0.0000282629	0.0000272927	0.0000281012	0.0000281012	0.0000290715	0.0000272927	0.000027131	0.0000284246	0.000027131	0.0000274544	0	0.00000580802	0.0000158181	0.0000208266	0.0000882641	0.0000622766	0.0000574109
542	0.000672684	0.00067114	0.000395535	0.000368135	0.000349629	0.000344133	0.000345465	0.000336477	0.000327662	0.000301924	0.000326498	0.000324504	0.000321014	0.000319187	0.000315201	0.000318522	0.000314038	0.000313208	0.000314703	0.000216349	0.0000221195	0.0000272927	0.0000281012	0.0000314977	0.0000276161	0.0000274544	0.0000269693	0.0000302037	0.000029395	0.0000302037	0.0000289098	0.000029395	0.0000297184	0.0000303654	0.0000292332	0.0000290715	0.0000306889	0.000029395	0.0000287481	0.00000580802	0	0.0000164642	0.0000201802	0.0000853373	0.0000629255	0.0000596813
540	0.000669768	0.000669254	0.000391688	0.000367635	0.000348796	0.000343467	0.0003438	0.000333815	0.000326665	0.000302588	0.000324504	0.000322177	0.000318688	0.00031736	0.000313872	0.000316529	0.000313374	0.000310552	0.000309722	0.00021602	0.000017595	0.0000259991	0.0000251908	0.0000272927	0.0000247058	0.0000242208	0.0000243825	0.0000269693	0.0000277778	0.0000276161	0.0000263225	0.0000264842	0.0000248674	0.0000261608	0.0000247058	0.0000248674	0.0000258375	0.0000264842	0.0000264842	0.0000158181	0.0000164642	0	0.0000124265	0.0000824114	0.0000619522	0.0000574109
541	0.000671483	0.000668053	0.000391688	0.000368636	0.000350962	0.000343467	0.000342801	0.000337808	0.00032866	0.000301593	0.000323008	0.00032251	0.000322343	0.000316695	0.000315533	0.000315533	0.00031188	0.000312544	0.000313706	0.000214046	0.0000229276	0.000027131	0.0000272927	0.0000300419	0.0000300419	0.0000279395	0.0000277778	0.0000284246	0.0000272927	0.0000281012	0.0000287481	0.0000289098	0.0000298802	0.0000302037	0.0000303654	0.0000302037	0.0000298802	0.0000285863	0.0000285863	0.0000208266	0.0000201802	0.0000124265	0	0.0000868006	0.0000608167	0.0000582217
503	0.000697932	0.000691915	0.000411941	0.000385169	0.000371306	0.000366967	0.000366967	0.000356294	0.000349129	0.000343301	0.000345465	0.000343966	0.000337475	0.000336643	0.000338307	0.000337641	0.000337641	0.000336976	0.000338474	0.000208947	0.000066333	0.0000747753	0.0000752625	0.000078024	0.0000747753	0.0000759122	0.0000757498	0.0000770493	0.0000785114	0.0000776991	0.0000763995	0.0000762371	0.0000755874	0.000076562	0.0000763995	0.000076562	0.0000781865	0.0000785114	0.0000781865	0.0000882641	0.0000853373	0.0000824114	0.0000868006	0	0.0000559517	0.0000410459
508	0.000671312	0.000668396	0.00038684	0.000363964	0.000349962	0.0003438	0.000344133	0.000333649	0.00032467	0.00031188	0.00032251	0.000320516	0.000321679	0.000317194	0.000316529	0.000316861	0.000310718	0.000311548	0.000314869	0.000174961	0.0000465522	0.0000530337	0.0000531958	0.0000540063	0.0000546547	0.0000538442	0.0000533579	0.0000520612	0.0000506027	0.000051413	0.0000523854	0.0000531958	0.0000538442	0.00005352	0.0000523854	0.0000525475	0.0000525475	0.0000512509	0.0000509268	0.0000622766	0.0000629255	0.0000619522	0.0000608167	0.0000559517	0	0.0000274544
